,RunId,iteration,Step,width,height,sheep_reproduce,wolf_reproduce,wolf_gain_from_food,grass,grass_regrowth_time,sheep_gain_from_food,initial_sheep,initial_wolves,escapeRange,Wolves,Sheep
146,13,1,30,20,20,0.04,0.05,20,True,30,4,150,50,0.25,9,6
147,13,1,40,20,20,0.04,0.05,20,True,30,4,150,50,0.25,3,8
148,13,1,50,20,20,0.04,0.05,20,True,30,4,150,50,0.25,0,9
149,13,1,60,20,20,0.04,0.05,20,True,30,4,150,50,0.25,0,13
150,13,1,70,20,20,0.04,0.05,20,True,30,4,150,50,0.25,0,16
151,13,1,80,20,20,0.04,0.05,20,True,30,4,150,50,0.25,0,25
152,13,1,90,20,20,0.04,0.05,20,True,30,4,150,50,0.25,0,42
153,13,1,100,20,20,0.04,0.05,20,True,30,4,150,50,0.25,0,40
154,14,1,0,20,20,0.04,0.05,20,True,30,4,100,100,0.25,100,100
155,14,1,10,20,20,0.04,0.05,20,True,30,4,100,100,0.25,103,37
156,14,1,20,20,20,0.04,0.05,20,True,30,4,100,100,0.25,66,5
157,14,1,30,20,20,0.04,0.05,20,True,30,4,100,100,0.25,16,5
158,14,1,40,20,20,0.04,0.05,20,True,30,4,100,100,0.25,1,6
159,14,1,50,20,20,0.04,0.05,20,True,30,4,100,100,0.25,0,7
160,14,1,60,20,20,0.04,0.05,20,True,30,4,100,100,0.25,0,8
161,14,1,70,20,20,0.04,0.05,20,True,30,4,100,100,0.25,0,13
162,14,1,80,20,20,0.04,0.05,20,True,30,4,100,100,0.25,0,18
163,14,1,90,20,20,0.04,0.05,20,True,30,4,100,100,0.25,0,20
164,14,1,100,20,20,0.04,0.05,20,True,30,4,100,100,0.25,0,23
165,15,1,0,20,20,0.04,0.05,20,True,30,4,100,150,0.25,150,100
166,15,1,10,20,20,0.04,0.05,20,True,30,4,100,150,0.25,157,17
167,15,1,20,20,20,0.04,0.05,20,True,30,4,100,150,0.25,84,3
168,15,1,30,20,20,0.04,0.05,20,True,30,4,100,150,0.25,24,2
169,15,1,40,20,20,0.04,0.05,20,True,30,4,100,150,0.25,1,4
170,15,1,50,20,20,0.04,0.05,20,True,30,4,100,150,0.25,1,7
171,15,1,60,20,20,0.04,0.05,20,True,30,4,100,150,0.25,0,8
172,15,1,70,20,20,0.04,0.05,20,True,30,4,100,150,0.25,0,10
173,15,1,80,20,20,0.04,0.05,20,True,30,4,100,150,0.25,0,11
174,15,1,90,20,20,0.04,0.05,20,True,30,4,100,150,0.25,0,13
175,15,1,100,20,20,0.04,0.05,20,True,30,4,100,150,0.25,0,15
176,16,2,0,20,20,0.04,0.05,20,True,30,4,50,50,0.25,50,50
177,16,2,10,20,20,0.04,0.05,20,True,30,4,50,50,0.25,41,36
178,16,2,20,20,20,0.04,0.05,20,True,30,4,50,50,0.25,30,20
179,16,2,30,20,20,0.04,0.05,20,True,30,4,50,50,0.25,4,10
180,16,2,40,20,20,0.04,0.05,20,True,30,4,50,50,0.25,1,14
181,16,2,50,20,20,0.04,0.05,20,True,30,4,50,50,0.25,0,19
182,16,2,60,20,20,0.04,0.05,20,True,30,4,50,50,0.25,0,19
183,16,2,70,20,20,0.04,0.05,20,True,30,4,50,50,0.25,0,24
184,16,2,80,20,20,0.04,0.05,20,True,30,4,50,50,0.25,0,27
185,16,2,90,20,20,0.04,0.05,20,True,30,4,50,50,0.25,0,30
186,16,2,100,20,20,0.04,0.05,20,True,30,4,50,50,0.25,0,28
187,17,1,0,20,20,0.04,0.05,20,True,30,4,150,100,0.25,100,150
188,17,1,10,20,20,0.04,0.05,20,True,30,4,150,100,0.25,104,38
189,17,1,20,20,20,0.04,0.05,20,True,30,4,150,100,0.25,63,5
190,17,1,30,20,20,0.04,0.05,20,True,30,4,150,100,0.25,16,1
191,17,1,40,20,20,0.04,0.05,20,True,30,4,150,100,0.25,1,2
192,17,1,50,20,20,0.04,0.05,20,True,30,4,150,100,0.25,0,4
193,17,1,60,20,20,0.04,0.05,20,True,30,4,150,100,0.25,0,4
194,17,1,70,20,20,0.04,0.05,20,True,30,4,150,100,0.25,0,5
195,17,1,80,20,20,0.04,0.05,20,True,30,4,150,100,0.25,0,5
196,17,1,90,20,20,0.04,0.05,20,True,30,4,150,100,0.25,0,7
197,17,1,100,20,20,0.04,0.05,20,True,30,4,150,100,0.25,0,10
198,18,2,0,20,20,0.04,0.05,20,True,30,4,50,100,0.25,100,50
199,18,2,10,20,20,0.04,0.05,20,True,30,4,50,100,0.25,123,21
200,18,2,20,20,20,0.04,0.05,20,True,30,4,50,100,0.25,51,8
201,18,2,30,20,20,0.04,0.05,20,True,30,4,50,100,0.25,15,8
202,18,2,40,20,20,0.04,0.05,20,True,30,4,50,100,0.25,3,9
203,18,2,50,20,20,0.04,0.05,20,True,30,4,50,100,0.25,0,14
204,18,2,60,20,20,0.04,0.05,20,True,30,4,50,100,0.25,0,17
205,18,2,70,20,20,0.04,0.05,20,True,30,4,50,100,0.25,0,20
206,18,2,80,20,20,0.04,0.05,20,True,30,4,50,100,0.25,0,25
207,18,2,90,20,20,0.04,0.05,20,True,30,4,50,100,0.25,0,31
208,18,2,100,20,20,0.04,0.05,20,True,30,4,50,100,0.25,0,25
209,19,1,0,20,20,0.04,0.05,20,True,30,4,150,150,0.25,150,150
210,19,1,10,20,20,0.04,0.05,20,True,30,4,150,150,0.25,169,21
211,19,1,20,20,20,0.04,0.05,20,True,30,4,150,150,0.25,98,1
212,19,1,30,20,20,0.04,0.05,20,True,30,4,150,150,0.25,41,0
213,19,1,40,20,20,0.04,0.05,20,True,30,4,150,150,0.25,8,0
214,19,1,50,20,20,0.04,0.05,20,True,30,4,150,150,0.25,3,0
215,19,1,60,20,20,0.04,0.05,20,True,30,4,150,150,0.25,4,0
216,19,1,70,20,20,0.04,0.05,20,True,30,4,150,150,0.25,0,0
217,19,1,80,20,20,0.04,0.05,20,True,30,4,150,150,0.25,0,0
218,19,1,90,20,20,0.04,0.05,20,True,30,4,150,150,0.25,0,0
219,19,1,100,20,20,0.04,0.05,20,True,30,4,150,150,0.25,0,0
220,20,2,0,20,20,0.04,0.05,20,True,30,4,100,50,0.25,50,100
221,20,2,10,20,20,0.04,0.05,20,True,30,4,100,50,0.25,49,46
222,20,2,20,20,20,0.04,0.05,20,True,30,4,100,50,0.25,37,11
223,20,2,30,20,20,0.04,0.05,20,True,30,4,100,50,0.25,16,5
224,20,2,40,20,20,0.04,0.05,20,True,30,4,100,50,0.25,1,7
225,20,2,50,20,20,0.04,0.05,20,True,30,4,100,50,0.25,1,9
226,20,2,60,20,20,0.04,0.05,20,True,30,4,100,50,0.25,0,10
227,20,2,70,20,20,0.04,0.05,20,True,30,4,100,50,0.25,0,15
