,RunId,iteration,Step,width,height,initial_sheep,initial_wolves,sheep_reproduce,wolf_reproduce,wolf_gain_from_food,grass,grass_regrowth_time,sheep_gain_from_food,escape_range,escaped,total_attacks,Wolves,Sheep,Escaped
180,2,0,290,20,20,100,100,0.04,0.05,20,True,30,4,1,0,0,0,35,177
181,2,0,295,20,20,100,100,0.04,0.05,20,True,30,4,1,0,0,0,38,177
182,2,0,300,20,20,100,100,0.04,0.05,20,True,30,4,1,0,0,0,35,177
183,3,0,0,20,20,150,100,0.04,0.05,20,True,30,4,1,0,0,100,150,0
184,3,0,5,20,20,150,100,0.04,0.05,20,True,30,4,1,0,0,109,98,150
185,3,0,10,20,20,150,100,0.04,0.05,20,True,30,4,1,0,0,93,35,217
186,3,0,15,20,20,150,100,0.04,0.05,20,True,30,4,1,0,0,54,15,240
187,3,0,20,20,20,150,100,0.04,0.05,20,True,30,4,1,0,0,28,3,245
188,3,0,25,20,20,150,100,0.04,0.05,20,True,30,4,1,0,0,16,2,245
189,3,0,30,20,20,150,100,0.04,0.05,20,True,30,4,1,0,0,7,3,245
190,3,0,35,20,20,150,100,0.04,0.05,20,True,30,4,1,0,0,3,3,245
191,3,0,40,20,20,150,100,0.04,0.05,20,True,30,4,1,0,0,0,3,245
192,3,0,45,20,20,150,100,0.04,0.05,20,True,30,4,1,0,0,0,3,245
193,3,0,50,20,20,150,100,0.04,0.05,20,True,30,4,1,0,0,0,3,245
194,3,0,55,20,20,150,100,0.04,0.05,20,True,30,4,1,0,0,0,3,245
195,3,0,60,20,20,150,100,0.04,0.05,20,True,30,4,1,0,0,0,3,245
196,3,0,65,20,20,150,100,0.04,0.05,20,True,30,4,1,0,0,0,4,245
197,3,0,70,20,20,150,100,0.04,0.05,20,True,30,4,1,0,0,0,6,245
198,3,0,75,20,20,150,100,0.04,0.05,20,True,30,4,1,0,0,0,8,245
199,3,0,80,20,20,150,100,0.04,0.05,20,True,30,4,1,0,0,0,8,245
200,3,0,85,20,20,150,100,0.04,0.05,20,True,30,4,1,0,0,0,9,245
201,3,0,90,20,20,150,100,0.04,0.05,20,True,30,4,1,0,0,0,15,245
202,3,0,95,20,20,150,100,0.04,0.05,20,True,30,4,1,0,0,0,18,245
203,3,0,100,20,20,150,100,0.04,0.05,20,True,30,4,1,0,0,0,25,245
204,3,0,105,20,20,150,100,0.04,0.05,20,True,30,4,1,0,0,0,26,245
205,3,0,110,20,20,150,100,0.04,0.05,20,True,30,4,1,0,0,0,23,245
206,3,0,115,20,20,150,100,0.04,0.05,20,True,30,4,1,0,0,0,29,245
207,3,0,120,20,20,150,100,0.04,0.05,20,True,30,4,1,0,0,0,27,245
208,3,0,125,20,20,150,100,0.04,0.05,20,True,30,4,1,0,0,0,29,245
